diam	0s	2s	5s	7s	10s	20s	30s	60s	120s	180s	240s	300s
52.1960020604789	0.00121101207999311	0.00229396470399351	-0.0022365532904425	3.66407646977057E-4	-0.00181312162389528	-0.00326013302239148	-0.00357224103624845	-0.00312682048786781	-4.70886132653875E-4	1.39384160303221E-4	-6.0757327251562E-4	-0.00215292586923345
52.2350880799227	0.00126278931856763	0.00228907467975477	-0.00223690412233119	3.3406157131662E-4	-0.00182398913556208	-0.00321743560114328	-0.00355678654596093	-0.00311519206953359	-5.08313311404553E-4	1.19667736841861E-4	-5.70778294550459E-4	-0.00218237864221929
52.2740832626566	0.00125415977880521	0.00227141625889268	-0.00221866086411896	3.25907098461048E-4	-0.00185799393013244	-0.00313842856182576	-0.00355904032579453	-0.00310784780532251	-5.04541580212623E-4	1.08440329037476E-4	-5.24556504048772E-4	-0.00218489290332784
52.3131047377405	0.00116211135467272	0.00223175272895625	-0.00219620762324236	3.21286230509556E-4	-0.00192985973309038	-0.00304496491531396	-0.00358157812413049	-0.00309713742001469	-4.63922936607237E-4	9.74867604478322E-5	-4.85328800267733E-4	-0.00216082783271746
52.3522697132286	0.00102260046184691	0.00216872574987922	-0.00219655845513105	3.09598152749902E-4	-0.00202556394873683	-0.00296259587432337	-0.00361635072727738	-0.0030836729356277	-4.14020031606334E-4	8.87239055761169E-5	-4.6921199173754E-4	-0.00211485277244687
52.3913436945974	9.21922497951997E-4	0.00211439214722661	-0.00222988748455725	3.09598152749902E-4	-0.00211565912610364	-0.00290981244805591	-0.00364307411673288	-0.00306959642922314	-3.76882986024265E-4	7.91395330601783E-5	-4.81983802270899E-4	-0.00205666558679192
52.4304440476548	9.31990294341489E-4	0.00204240012371189	-0.00227268897497827	3.23188940842523E-4	-0.00218121476099699	-0.00289165763902125	-0.00364693773930475	-0.00305858003290651	-3.57444063727401E-4	5.47678429482203E-5	-5.1877878023606E-4	-0.00200458446382914
52.4696882174414	0.00107581595704851	0.00200572494192137	-0.00229654554340966	3.63961305120384E-4	-0.00221416786088989	-0.00289434724035972	-0.00363438096594613	-0.0030588860439153	-3.46709136488836E-4	5.31248076597737E-6	-5.71690566731415E-4	-0.00197692759163512
52.5088412353314	0.00132031958365044	0.00199159820523169	-0.00230145718985142	3.87609276401546E-4	-0.00220154752476069	-0.0028977092420328	-0.00362246812968286	-0.00308183686957494	-3.3133207855251E-4	-6.27091801757123E-5	-6.27339169769633E-4	-0.00197477251068494
52.5480207045955	0.00160509439581034	0.00200572494192137	-0.00230426384496099	4.18324457490869E-4	-0.00213283680583505	-0.00289871784253473	-0.00361441891599144	-0.00313110464199093	-3.0667075922067E-4	-1.27335234854612E-4	-6.77514139722123E-4	-0.0019790826725853
